warmup,bias_v,h1_signed_v,h2_signed_v,h2_filt_signed_v,dc_v,k_fit,k_h2_signed_v,k_h2_filt_signed_v,k_h2_signed_over_dc,k_h2_filt_signed_over_dc
1,-9.975,-0.000143,-0.0,-3.805361001651639e-07,0.805323,557.8999551650293,-0.0,-0.00021230107322082003,-0.0,-0.0002636222648810726
0,-9.875,0.065157,-0.000227,-1.169858978357791e-05,0.896047,557.8999551650293,-0.12664328982246165,-0.006526642715752185,-0.1413355435847245,-0.007283817384302592
0,-9.775,0.063258,-0.000123,-1.7250026249769247e-05,0.935206,557.8999551650293,-0.0686216944852986,-0.00962378887134184,-0.073376020347708,-0.010290555098386708
0,-9.675,0.057483,0.000114,-1.0694350671458149e-05,0.960056,557.8999551650293,0.06360059488881334,-0.005966377760125602,0.06624675528178912,-0.006214614314295835
0,-9.575,0.055884,-0.000228,-2.1558173404807893e-05,0.980847,557.8999551650293,-0.12720118977762668,-0.01202730397598225,-0.12968504749224566,-0.012262161148458678
0,-9.475,0.052357,-9.8e-05,-2.5382553712879938e-05,0.999797,557.8999551650293,-0.054674195606172864,-0.014160925578389664,-0.05468529672140731,-0.014163800829958145
0,-9.375,0.046809,-0.000148,-3.153595787470641e-05,1.017399,557.8999551650293,-0.08256919336442432,-0.017593909484384957,-0.08115714028068076,-0.017293028088670184
0,-9.275,0.044463,-0.000291,-4.4520427227411645e-05,1.033652,557.8999551650293,-0.16234888695302352,-0.024837944354100906,-0.1570633897607933,-0.024029310013525738
0,-9.175,0.040105,-4.9e-05,-4.4759926956846536e-05,1.048515,557.8999551650293,-0.027337097803086432,-0.024971561242414668,-0.02607220478780602,-0.023816122079717186
0,-9.075,0.03429,-0.000365,-6.0755679341668453e-05,1.062737,557.8999551650293,-0.20363348363523567,-0.03389559078073773,-0.19161230260660508,-0.03189461812352231
0,-8.975,0.031432,-0.000247,-7.006821250754225e-05,1.075958,557.8999551650293,-0.1378012889257622,-0.039091052616451565,-0.12807311152086068,-0.03633139269046893
0,-8.875,0.026483,-7.7e-05,-7.03887452636916e-05,1.08719,557.8999551650293,-0.042958296547707255,-0.03926987782673621,-0.039513145400258694,-0.03612052891098723
0,-8.775,0.021418,-0.000231,-7.841056957717129e-05,1.096552,557.8999551650293,-0.12887488964312177,-0.04374525325156827,-0.11752738551671219,-0.039893459910308196
0,-8.675,0.017145,-0.00011,-7.998894351670191e-05,1.104232,557.8999551650293,-0.06136899506815322,-0.044625828001666056,-0.055576178799521495,-0.040413452971536826
0,-8.575,0.01184,-0.000122,-8.20906640778958e-05,1.110437,557.8999551650293,-0.06806379453013357,-0.045798377808525546,-0.06129460251246453,-0.04124356249703995
0,-8.475,0.007112,-0.000209,-8.843379568662152e-05,1.115232,557.8999551650293,-0.11660109062949113,-0.0493372106486395,-0.10455321460421789,-0.04423941444348754
0,-8.375,0.00236,-0.000109,-8.947809063565984e-05,1.118189,557.8999551650293,-0.06081109511298819,-0.049919822753887046,-0.054383556905843455,-0.044643457191840596
0,-8.275,-0.002581,-0.000137,-9.18722179649134e-05,1.119254,557.8999551650293,-0.07643229385760901,-0.051255506283536985,-0.06828860460414617,-0.04579434720227668
0,-8.175,-0.007709,-0.000134,-9.399473103239936e-05,1.118622,557.8999551650293,-0.07475859399211393,-0.05243965622872459,-0.06683097059785516,-0.04687879929835511
0,-8.075,-0.012817,-0.000162,-9.739984255701693e-05,1.116381,557.8999551650293,-0.09037979273673474,-0.05433936779564066,-0.08095783853069403,-0.04867457238670369
0,-7.975,-0.017164,-1.3e-05,-9.318769762442528e-05,1.112334,557.8999551650293,-0.00725269941714538,-0.05198941232659917,-0.00652025328466574,-0.046739030117392055
0,-7.875,-0.022521,-0.000124,-9.474406237768438e-05,1.10596,557.8999551650293,-0.06917959444046363,-0.05285770815266285,-0.0625516243267963,-0.04779350804067312
0,-7.775,-0.02719,-0.000111,-9.557080357678265e-05,1.098009,557.8999551650293,-0.06192689502331825,-0.05331894703057286,-0.056399259954443226,-0.04855966301785583
0,-7.675,-0.031452,4.4e-05,-8.86009600094804e-05,1.088507,557.8999551650293,0.024547598027261287,-0.049430471616867665,0.02255162164989411,-0.045411257453436375
0,-7.575,-0.036881,-0.000133,-9.083579604940714e-05,1.077718,557.8999551650293,-0.0742006940369489,-0.05067728654334399,-0.06884982345748043,-0.0470227708392585
0,-7.475,-0.040785,-0.000229,-9.77624113092243e-05,1.065085,557.8999551650293,-0.1277590897327917,-0.054541644886241386,-0.1199520129687224,-0.05120872501841767
0,-7.375,-0.045395,-7e-06,-9.320354316421453e-05,1.051093,557.8999551650293,-0.003905299686155205,-0.05199825255253716,-0.0037154654118666994,-0.049470648698580574
0,-7.275,-0.05008,-9.4e-05,-9.324628907542932e-05,1.035731,557.8999551650293,-0.05244259578551275,-0.052022100494487376,-0.05063341329506672,-0.05022742439348381
0,-7.175,-0.052512,-0.000425,-0.00010979803651979544,1.018788,557.8999551650293,-0.23710748094513742,-0.06125631965160212,-0.23273485842504762,-0.06012665996419483
0,-7.075,-0.058051,2.4e-05,-0.00010309284375177572,0.999967,557.8999551650293,0.013389598923960702,-0.05751549290695104,0.013390040795306946,-0.05751739098085341
0,-6.975,-0.062097,-0.000209,-0.00010837825882627462,0.97957,557.8999551650293,-0.11660109062949113,-0.06046422574004255,-0.11903293346008056,-0.061725273068838925
0,-6.875,-0.062966,8.5e-05,-9.869804446452159e-05,0.958351,557.8999551650293,0.04742149618902749,-0.05506363458163266,0.049482388174090175,-0.057456646449612576
0,-6.775,-0.068694,4.4e-05,-9.155495658161754e-05,0.935744,557.8999551650293,0.024547598027261287,-0.05107850617202063,0.02623324117200996,-0.054585983102238035
0,-6.675,-0.071763,-0.000119,-9.29010164091669e-05,0.911358,557.8999551650293,-0.06639009466463848,-0.05182947288945986,-0.07284743719223234,-0.056870596285389347
0,-6.575,-0.072065,0.000516,-6.24542133999795e-05,0.886568,557.8999551650293,0.2878763768651551,-0.03484320285571573,0.32470873848949555,-0.03930121869469204
0,-6.475,-0.077975,-0.000115,-6.510003076807987e-05,0.86106,557.8999551650293,-0.06415849484397837,-0.03631930424675378,-0.07451106176570549,-0.04217976011747588
0,-6.375,-0.079391,-0.000214,-7.25278777873273e-05,0.834442,557.8999551650293,-0.11939059040531626,-0.04046329976576462,-0.14307835704017327,-0.04849144669823022
0,-6.275,-0.080586,0.000274,-5.5186958192599006e-05,0.806579,557.8999551650293,0.15286458771521802,-0.03078880150134533,0.18952215184776447,-0.03817208419924809
0,-6.175,-0.084841,0.000199,-4.246212785761408e-05,0.777887,557.8999551650293,0.11102209107784083,-0.023689619227974634,0.14272264619133734,-0.030453805280168757
0,-6.075,-0.083955,-0.000375,-5.911494062238421e-05,0.748525,557.8999551650293,-0.20921248318688598,-0.03298022272281152,-0.27949966024766837,-0.04406028218537995
0,-5.975,-0.086321,0.000126,-4.9871324528037104e-05,0.71851,557.8999551650293,0.07029539435079368,-0.027823209718212526,0.09783495616037868,-0.03872348292746451
0,-5.875,-0.088556,4.2e-05,-4.5299574510178066e-05,0.688207,557.8999551650293,0.02343179811693123,-0.025272630588223245,0.0340476021268764,-0.03672242593903178
0,-5.775,-0.085847,-0.000165,-5.127057138921901e-05,0.657445,557.8999551650293,-0.09205349260222982,-0.028603849479330718,-0.14001702439326458,-0.04350759299915692
0,-5.675,-0.08928,8.1e-05,-4.4678577175827675e-05,0.626207,557.8999551650293,0.04518989636836737,-0.02492617620323156,0.0721644701646059,-0.03980501048891431
0,-5.575,-0.089671,-7.7e-05,-4.63033989567742e-05,0.594723,557.8999551650293,-0.042958296547707255,-0.025832664201972787,-0.07223244526898616,-0.04343646403783406
0,-5.475,-0.086426,0.000305,-2.8743351559241427e-05,0.563318,557.8999551650293,0.17015948632533393,-0.016035914546193467,0.3020664816770171,-0.028466895334772663
0,-5.375,-0.089251,0.000121,-2.1231659043741574e-05,0.531945,557.8999551650293,0.06750589457496854,-0.011845141628582613,0.12690389904025517,-0.02226760591524051
0,-5.275,-0.088081,-9.3e-05,-2.48249281093467e-05,0.500724,557.8999551650293,-0.05188469583034772,-0.013849826279179599,-0.10361935084067815,-0.027659601455451707
0,-5.175,-0.085918,0.000401,-3.548343921942314e-06,0.469587,557.8999551650293,0.22371788202117673,-0.001979620914961721,0.4764141299081464,-0.004215663795977574
0,-5.075,-0.087038,8e-06,-2.980151158627719e-06,0.438521,557.8999551650293,0.004463199641320234,-0.0016626261977834146,0.01017784699323461,-0.0037914403136529713
0,-4.975,-0.083307,-0.000165,-1.1067632033552466e-05,0.407825,557.8999551650293,-0.09205349260222982,-0.006174631415301962,-0.2257181207680496,-0.015140394569489271
0,-4.875,-0.082456,9.4e-05,-5.815909713983648e-06,0.377662,557.8999551650293,0.05244259578551275,-0.0032446957686753353,0.13886119277426046,-0.008591533616501886
0,-4.775,-0.081375,7.3e-05,-1.8967731903904768e-06,0.348172,557.8999551650293,0.04072669672704714,-0.0010582096778770766,0.11697292351782206,-0.0030393302100027476
0,-4.675,-0.076127,-0.000372,-2.0388839015076777e-05,0.319333,557.8999551650293,-0.2075387833213909,-0.011374932372378334,-0.649913361041267,-0.03562091100004802
0,-4.575,-0.076224,0.000106,-1.4091191867439692e-05,0.291114,557.8999551650293,0.059137395247493105,-0.00786147531106643,0.2031417082225283,-0.02700479987587828
0,-4.475,-0.07351,-0.0,-1.3398469141501439e-05,0.263755,557.8999551650293,-0.0,-0.007475005333323681,-0.0,-0.028340715183877766
0,-4.375,-0.06741,3.2e-05,-1.1150061979799138e-05,0.237397,557.8999551650293,0.017852798565280936,-0.006220619078617236,0.07520229221633355,-0.02620344435109642
0,-4.275,-0.067302,2.6e-05,-9.301651532114882e-06,0.211963,557.8999551650293,0.01450539883429076,-0.005189390972727618,0.06843363622090062,-0.024482532200089724
0,-4.175,-0.063289,-9.5e-05,-1.3583979679179298e-05,0.187688,557.8999551650293,-0.053000495740677785,-0.007578501653976799,-0.282386171415742,-0.04037818962308085
0,-4.075,-0.057639,0.000458,9.989207552847568e-06,0.164515,557.8999551650293,0.2555181794655834,0.00557297844586783,1.5531603772639786,0.033875199500761816
0,-3.975,-0.056097,3.6e-05,1.1300002355376648e-05,0.142548,557.8999551650293,0.020084398385941053,0.006304270807429357,0.14089568696818652,0.04422559985008107
0,-3.875,-0.051157,-0.000107,5.400293783361693e-06,0.122002,557.8999551650293,-0.05969529520265813,0.0030128236596154746,-0.4892976771090484,0.02469487106453562
0,-3.775,-0.046326,0.000353,2.277949555834591e-05,0.102855,557.8999551650293,0.19693868417325533,0.012708679550683168,1.914721541716546,0.12355918089235494
0,-3.675,-0.043093,0.000125,2.7907783342561297e-05,0.08515,557.8999551650293,0.06973749439562867,0.015569751075570298,0.818995823788945,0.18285086407011505
0,-3.575,-0.037289,-0.0001,2.1532990845618485e-05,0.069005,557.8999551650293,-0.05578999551650293,0.012013254627339539,-0.8084920732773413,0.17409252412636098
0,-3.475,-0.033154,0.000158,2.83773674865238e-05,0.054398,557.8999551650293,0.08814819291607462,0.015831732048433186,1.6204307679707823,0.29103518600744854
0,-3.375,-0.028673,0.000111,3.248404672978179e-05,0.041441,557.8999551650293,0.06192689502331825,0.018122848214123976,1.4943388196066276,0.4373168652813392
0,-3.275,-0.022682,3.2e-05,3.247662890757463e-05,0.030205,557.8999551650293,0.017852798565280936,0.01811870981144718,0.5910544136825339,0.5998579642922424
0,-3.175,-0.018483,0.000129,3.72951056374706e-05,0.020681,557.8999551650293,0.07196909421628878,0.020806937763019877,3.479962004559198,1.0060895393365832
0,-3.075,-0.013421,8.9e-05,3.986103192735737e-05,0.012954,557.8999551650293,0.0496530960096876,0.022238467925104477,3.833031959988235,1.716725947591823
0,-2.975,-0.007971,0.000138,4.478406224079467e-05,0.007046,557.8999551650293,0.07699019381277404,0.024985026316247227,10.926794466757599,3.545987271678573
0,-2.875,-0.003069,0.000124,4.873012281171031e-05,0.002966,557.8999551650293,0.06917959444046363,0.02718653333183955,23.324205812698462,9.16605978821293
0,-2.775,0.002076,0.000131,5.283346412749376e-05,0.000758,557.8999551650293,0.07308489412661884,0.029475787267941953,96.41806613010401,38.88626288646696
0,-2.675,0.007138,8.2e-05,5.428148370459608e-05,0.000444,557.8999551650293,0.0457477963235324,0.030283637325085423,103.03557730525316,68.20639037181401
