t_s,state,locked,bias_v,err,h1_v,h2_v,dc_v,vpi_v,null_v,peak_v,quad_v,target_v,target_dc_v,dc_delta_v,obs_x,obs_y,phase_est_rad,err_obs_raw,err_dc,err_obs,err_spring,dc_spring_offset_v,lock_obs_ok,phase_jump_rejected,lock_radius_ok,lock_err_ok,lock_bias_ok,lock_phase_ok,diag_radius,bias_err_v,bias_window_v,hold_active,lock_streak,dc_null_v,dc_peak_v,dc_phase_deg
0.000,LOCKING,0,1.277000,0.000000,0.001000,0.000700,0.614300,5.450000,-2.810000,2.640000,-0.085000,1.277500,nan,nan,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,1,0,0.000000,0.000000,1.635000,0,0,-0.000600,1.075900,98.1871
0.505,LOCKED,1,1.283000,0.026700,0.071100,0.000400,0.899000,5.450000,-2.810000,2.640000,-0.085000,1.277500,nan,nan,0.740600,-0.672000,2.307700,0.048500,-0.671400,0.026700,-0.000000,0.000000,1,0,1,1,1,1,1.000000,0.005300,1.635000,0,2,-0.000600,1.075900,132.1707
1.005,LOCKING,0,1.327000,0.119600,0.133000,0.000300,0.910300,5.450000,-2.810000,2.640000,-0.085000,1.277500,nan,nan,0.803700,-0.595000,2.208100,0.147600,-0.692300,0.121300,-0.001700,0.000000,1,0,1,0,1,1,1.000000,0.049900,1.635000,0,0,-0.000600,1.075900,133.8153
1.510,LOCKED,1,1.343000,0.057900,0.155300,0.000700,0.917200,5.450000,-2.810000,2.640000,-0.085000,1.277500,nan,nan,0.833800,-0.552100,2.155600,0.199200,-0.705200,0.061100,-0.003200,0.000000,1,0,1,1,1,1,1.000000,0.065800,1.635000,0,1,-0.000600,1.075900,134.8421
2.017,LOCKED,1,1.353000,0.014100,0.173100,0.001300,0.923400,5.450000,-2.810000,2.640000,-0.085000,1.277500,nan,nan,0.842000,-0.539500,2.140700,0.213900,-0.716700,0.018200,-0.004100,0.000000,1,0,1,1,1,1,1.000000,0.076100,1.635000,0,4,-0.000600,1.075900,135.7806
2.521,LOCKED,1,1.353000,-0.003800,0.179300,0.001500,0.924700,5.450000,-2.810000,2.640000,-0.085000,1.277500,nan,nan,0.831000,-0.556300,2.160800,0.194200,-0.719000,0.000400,-0.004200,0.000000,1,0,1,1,1,1,1.000000,0.075200,1.635000,0,6,-0.000600,1.075900,135.9794
3.026,LOCKED,1,1.346000,-0.016600,0.184800,0.001700,0.924700,5.450000,-2.810000,2.640000,-0.085000,1.277500,nan,nan,0.802600,-0.596500,2.209900,0.145700,-0.719000,-0.012700,-0.003900,0.000000,1,0,1,1,1,1,1.000000,0.068400,1.635000,0,9,-0.000600,1.075900,135.9794
3.531,LOCKED,1,1.341000,-0.016100,0.187200,0.001700,0.924100,5.450000,-2.810000,2.640000,-0.085000,1.277500,nan,nan,0.788700,-0.614700,2.232800,0.123000,-0.718000,-0.012500,-0.003600,0.000000,1,0,1,1,1,1,1.000000,0.061300,1.635000,0,12,-0.000600,1.075900,135.8875
4.031,LOCKED,1,1.335000,-0.010900,0.189500,0.001600,0.923000,5.450000,-2.810000,2.640000,-0.085000,1.277500,nan,nan,0.777200,-0.629300,2.251500,0.104500,-0.716000,-0.007600,-0.003300,0.000000,1,0,1,1,1,1,1.000000,0.058000,1.635000,0,14,-0.000600,1.075900,135.7196
4.536,LOCKED,1,1.333000,-0.007000,0.190500,0.001500,0.923000,5.450000,-2.810000,2.640000,-0.085000,1.277500,nan,nan,0.775000,-0.632000,2.254900,0.101700,-0.715900,-0.003900,-0.003100,0.000000,1,0,1,1,1,1,1.000000,0.055000,1.635000,0,17,-0.000600,1.075900,135.7196
5.041,LOCKED,1,1.331000,-0.003200,0.191300,0.001500,0.922600,5.450000,-2.810000,2.640000,-0.085000,1.277500,nan,nan,0.776600,-0.630000,2.252400,0.103600,-0.715200,-0.000200,-0.003000,0.000000,1,0,1,1,1,1,1.000000,0.054000,1.635000,0,19,-0.000600,1.075900,135.6586
5.544,LOCKED,1,1.331000,-0.002300,0.191600,0.001500,0.923100,5.450000,-2.810000,2.640000,-0.085000,1.277500,nan,nan,0.778300,-0.627900,2.249700,0.106300,-0.716200,0.000700,-0.002900,0.000000,1,0,1,1,1,1,1.000000,0.053000,1.635000,0,22,-0.000600,1.075900,135.7348
6.049,LOCKED,1,1.330000,-0.001800,0.191800,0.001500,0.922700,5.450000,-2.810000,2.640000,-0.085000,1.277500,nan,nan,0.780100,-0.625700,2.246800,0.109200,-0.715400,0.001100,-0.002900,0.000000,1,0,1,1,1,1,1.000000,0.052500,1.635000,0,24,-0.000600,1.075900,135.6738
6.554,LOCKED,1,1.329000,-0.001400,0.191900,0.001400,0.923800,5.450000,-2.810000,2.640000,-0.085000,1.277500,nan,nan,0.784200,-0.620600,2.240200,0.115700,-0.717400,0.002000,-0.002900,0.000000,1,0,1,1,1,1,1.000000,0.051900,1.635000,1,27,-0.000600,1.075900,135.8417
7.059,LOCKED,1,1.329000,0.000200,0.191900,0.001400,0.924000,5.450000,-2.810000,2.640000,-0.085000,1.277500,nan,nan,0.788900,-0.614600,2.232600,0.123200,-0.717900,0.003100,-0.002900,0.000000,1,0,1,1,1,1,1.000000,0.052000,1.635000,1,29,-0.000600,1.075900,135.8722
7.563,LOCKED,1,1.329000,0.000600,0.191800,0.001400,0.925000,5.450000,-2.810000,2.640000,-0.085000,1.277500,nan,nan,0.794900,-0.606800,2.222800,0.133000,-0.719600,0.003200,-0.002900,0.000000,1,0,1,1,1,1,1.000000,0.052200,1.635000,1,32,-0.000600,1.075900,136.0253
8.064,LOCKED,1,1.329000,-0.000500,0.191700,0.001400,0.924900,5.450000,-2.810000,2.640000,-0.085000,1.277500,nan,nan,0.796900,-0.604100,2.219500,0.136300,-0.719400,0.002300,-0.002900,0.000000,1,0,1,1,1,1,1.000000,0.052000,1.635000,1,34,-0.000600,1.075900,136.0100
8.567,LOCKED,1,1.329000,-0.002200,0.191600,0.001400,0.925700,5.450000,-2.810000,2.640000,-0.085000,1.277500,nan,nan,0.797200,-0.603700,2.219000,0.136800,-0.721000,0.000600,-0.002800,0.000000,1,0,1,1,1,1,1.000000,0.051200,1.635000,1,37,-0.000600,1.075900,136.1328
9.069,LOCKED,1,1.328000,-0.002300,0.191500,0.001400,0.925300,5.450000,-2.810000,2.640000,-0.085000,1.277500,nan,nan,0.798100,-0.602600,2.217500,0.138200,-0.720100,0.000500,-0.002800,0.000000,1,0,1,1,1,1,1.000000,0.050500,1.635000,1,39,-0.000600,1.075900,136.0714
9.574,LOCKED,1,1.327000,-0.002500,0.191300,0.001400,0.925000,5.450000,-2.810000,2.640000,-0.085000,1.277500,nan,nan,0.798100,-0.602600,2.217500,0.138200,-0.719600,0.000200,-0.002700,0.000000,1,0,1,1,1,1,1.000000,0.049400,1.635000,1,42,-0.000600,1.075900,136.0253
10.075,LOCKED,1,1.326000,-0.002000,0.191300,0.001400,0.924800,5.450000,-2.810000,2.640000,-0.085000,1.277500,nan,nan,0.799300,-0.600900,2.215400,0.140300,-0.719300,0.000700,-0.002700,0.000000,1,0,1,1,1,1,1.000000,0.048800,1.635000,1,44,-0.000600,1.075900,135.9947
10.580,LOCKED,1,1.325000,-0.002600,0.191200,0.001400,0.925400,5.450000,-2.810000,2.640000,-0.085000,1.277500,nan,nan,0.799000,-0.601400,2.216000,0.139700,-0.720300,0.000000,-0.002600,0.000000,1,0,1,1,1,1,1.000000,0.047700,1.635000,1,47,-0.000600,1.075900,136.0867
11.081,LOCKED,1,1.324000,-0.002400,0.191200,0.001400,0.924900,5.450000,-2.810000,2.640000,-0.085000,1.277500,nan,nan,0.799500,-0.600600,2.215000,0.140700,-0.719500,0.000200,-0.002600,0.000000,1,0,1,1,1,1,1.000000,0.046900,1.635000,1,49,-0.000600,1.075900,136.0100
11.586,LOCKED,1,1.323000,-0.001600,0.191100,0.001400,0.924800,5.450000,-2.810000,2.640000,-0.085000,1.277500,nan,nan,0.801600,-0.597800,2.211600,0.144100,-0.719200,0.001000,-0.002600,0.000000,1,0,1,1,1,1,1.000000,0.046100,1.635000,1,52,-0.000600,1.075900,135.9947
12.091,LOCKED,1,1.323000,-0.000900,0.191000,0.001300,0.925200,5.450000,-2.810000,2.640000,-0.085000,1.277500,nan,nan,0.804100,-0.594500,2.207400,0.148200,-0.720000,0.001600,-0.002500,0.000000,1,0,1,1,1,1,1.000000,0.045800,1.635000,1,54,-0.000600,1.075900,136.0560
