bias_v,h1_mag_v,h1_signed_v,h2_mag_v,h2_signed_v,dc_v
-3.363,0.088963,-0.067192,0.003207,-0.000429,0.058072
-3.313,0.091396,-0.069545,0.002575,-0.000248,0.033555
-3.263,0.086245,-0.065697,0.001131,-0.000127,0.028379
-3.213,0.083055,-0.063239,0.001651,-0.000233,0.024739
-3.163,0.075907,-0.057768,0.002349,-0.000228,0.021165
-3.113,0.06885,-0.052444,0.001296,-0.000156,0.017699
-3.063,0.063874,-0.048632,0.001698,-0.00024,0.014424
-3.013,0.056271,-0.042826,0.002086,-0.000267,0.011357
-2.963,0.048449,-0.03689,0.001586,-0.000201,0.008575
-2.913,0.042507,-0.032362,0.001584,-0.000242,0.006124
-2.863,0.035192,-0.026773,0.001895,-0.000275,0.003979
-2.813,0.027196,-0.020706,0.001672,-0.000223,0.002181
-2.763,0.020293,-0.015452,0.001617,-0.000257,0.000758
-2.713,0.012725,-0.00968,0.001768,-0.000268,-0.000293
-2.663,0.005014,-0.003812,0.00167,-0.000253,-0.000953
-2.613,0.002532,0.001932,0.001699,-0.000269,-0.00121
-2.563,0.010319,0.007858,0.001717,-0.000272,-0.001056
-2.513,0.017625,0.013426,0.001548,-0.000272,-0.000491
-2.463,0.025497,0.019426,0.001864,-0.000289,0.000499
-2.413,0.033602,0.025586,0.001635,-0.000273,0.00192
-2.363,0.040315,0.030707,0.001312,-0.000268,0.003757
-2.313,0.048141,0.036683,0.002002,-0.000315,0.006019
-2.263,0.056977,0.043386,0.001666,-0.00028,0.008711
-2.213,0.063174,0.048111,0.001015,-0.000286,0.011823
-2.163,0.070728,0.053909,0.002164,-0.000343,0.015358
-2.113,0.079987,0.060939,0.001525,-0.000293,0.019339
-2.063,0.085735,0.065317,0.000733,-0.000267,0.023748
-2.013,0.092432,0.070452,0.001996,-0.000369,0.028521
-1.963,0.102366,0.077996,0.001605,-0.00029,0.03373
-1.913,0.108246,0.082473,0.000562,-0.000291,0.039392
-1.863,0.114189,0.087073,0.002,-0.000382,0.045438
-1.813,0.124131,0.094621,0.00153,-0.000295,0.05184
-1.763,0.129867,0.098975,0.000513,-0.00023,0.058747
-1.713,0.134509,0.102562,0.001552,-0.000379,0.066005
-1.663,0.144617,0.110266,0.001788,-0.000327,0.073632
-1.613,0.151485,0.11543,0.000611,-0.000213,0.08173
-1.563,0.154862,0.11813,0.001244,-0.000437,0.090145
-1.513,0.164492,0.125475,0.001963,-0.000349,0.098887
-1.463,0.171093,0.130437,0.000627,-0.000253,0.108027
-1.413,0.173227,0.132118,0.000599,-0.000343,0.117654
-1.363,0.182146,0.138959,0.002299,-0.000405,0.127583
-1.313,0.190696,0.145385,0.000967,-0.000242,0.137911
-1.263,0.191667,0.146195,0.000414,-0.000377,0.148516
-1.213,0.199177,0.152002,0.002618,-0.000409,0.159458
-1.163,0.207576,0.15832,0.000619,-0.000275,0.170864
-1.113,0.207424,0.158236,0.000756,-0.000302,0.182473
-1.063,0.213621,0.16304,0.002597,-0.000477,0.194303
-1.013,0.223593,0.170515,0.001047,-0.000315,0.206502
-0.963,0.223399,0.170396,0.00135,-0.000325,0.218935
-0.913,0.228093,0.174116,0.00255,-0.000491,0.23176
-0.863,0.237467,0.181177,0.000468,-0.000303,0.24478
-0.813,0.236815,0.18064,0.001787,-0.000193,0.258191
-0.763,0.239161,0.182504,0.001879,-0.000479,0.271806
-0.713,0.249427,0.19028,0.000949,-0.000296,0.285476
-0.663,0.249541,0.190316,0.00177,-0.000236,0.299291
-0.613,0.250268,0.191037,0.001719,-0.00048,0.313491
-0.563,0.259604,0.198075,0.000565,-0.000251,0.327881
-0.513,0.259864,0.198198,0.001564,-0.000111,0.342746
-0.463,0.258107,0.196957,0.000706,-0.000402,0.357432
-0.413,0.267005,0.20372,0.001249,-0.000305,0.372319
-0.363,0.269497,0.205475,0.001094,-8.6e-05,0.387537
-0.313,0.266067,0.203056,0.000489,-0.000489,0.402856
-0.263,0.273269,0.208532,0.001389,-0.000312,0.418267
-0.213,0.275442,0.210049,0.001002,-0.000127,0.433821
-0.163,0.270275,0.206186,0.001049,-0.00027,0.449644
-0.113,0.275824,0.210467,0.001875,-0.00033,0.465309
-0.063,0.280364,0.213752,0.000335,-9.8e-05,0.480839
-0.013,0.274522,0.209377,0.001803,-0.00032,0.497055
0.037,0.277799,0.212003,0.002153,-0.000333,0.513187
0.087,0.281746,0.214879,0.000754,-0.000171,0.529125
0.137,0.274838,0.209654,0.002361,-0.000192,0.545273
0.187,0.275657,0.210393,0.001935,-0.000392,0.560928
0.237,0.281617,0.214772,0.000248,-0.000158,0.576823
0.287,0.274871,0.209669,0.003016,-0.000161,0.59271
0.337,0.273894,0.209095,0.001739,-0.000402,0.60819
0.387,0.278899,0.212821,0.000871,-0.00014,0.624344
0.437,0.271583,0.207199,0.003272,-3e-05,0.640204
0.487,0.268146,0.204673,0.000886,-0.000375,0.655739
0.537,0.273367,0.20858,0.000198,-0.000145,0.671025
0.587,0.267907,0.204383,0.003167,-7.9e-05,0.686669
0.637,0.262821,0.200673,0.000559,-0.000297,0.702268
0.687,0.266725,0.203563,0.000705,-4.9e-05,0.717659
0.737,0.260754,0.198943,0.002729,9.9e-05,0.732611
0.787,0.253455,0.193469,0.000644,-0.000205,0.747478
0.837,0.256598,0.195862,0.000132,-0.000117,0.762473
0.887,0.253529,0.193378,0.002266,0.000102,0.777268
0.937,0.2448,0.186905,0.001201,-0.000246,0.792104
0.987,0.245952,0.187774,0.000101,-0.000101,0.806544
1.037,0.241981,0.184602,0.00206,0.000107,0.820599
1.087,0.232087,0.177125,0.001967,-4.5e-05,0.834416
1.137,0.231544,0.176768,0.000578,-0.0001,0.847904
1.187,0.230172,0.175577,0.00144,0.000108,0.861485
1.237,0.219631,0.167623,0.002514,-5.5e-05,0.874133
1.287,0.216612,0.165407,0.00051,-5.2e-05,0.886907
1.337,0.214427,0.163612,0.001731,0.00011,0.900015
1.387,0.203661,0.155402,0.002873,7.1e-05,0.912305
1.437,0.199114,0.152029,0.000495,-9.6e-05,0.923479
1.487,0.198038,0.151091,0.001274,0.000112,0.935373
1.537,0.188034,0.143458,0.003164,0.000102,0.946919
1.587,0.181898,0.138873,0.00011,-8.1e-05,0.957995
1.637,0.17946,0.136937,0.001721,0.00013,0.968157
1.687,0.169405,0.129211,0.003163,0.000217,0.978402
1.737,0.16185,0.123526,0.000508,-3.8e-05,0.988185
1.787,0.159514,0.121694,0.001236,0.000131,0.997754
1.837,0.15064,0.114881,0.002852,0.000169,1.006762
1.887,0.142084,0.108458,0.000834,3.9e-05,1.015324
1.937,0.138407,0.105585,0.001528,0.000197,1.023536
1.987,0.129688,0.098885,0.002576,0.000288,1.031692
2.037,0.120333,0.091795,0.001431,0.000132,1.039208
2.087,0.115787,0.088354,0.00114,0.000155,1.045739
2.137,0.108346,0.082583,0.002206,0.000263,1.052731
2.187,0.098644,0.075264,0.001663,9.2e-05,1.058809
2.237,0.092947,0.070907,0.001245,0.000196,1.064812
2.287,0.085135,0.064918,0.002029,0.000267,1.069758
2.337,0.075385,0.057489,0.001906,0.000188,1.073984
2.387,0.068743,0.052442,0.001135,0.000212,1.078264
2.437,0.061675,0.047012,0.001824,0.00028,1.082717
2.487,0.052241,0.039843,0.00199,0.000242,1.086361
2.537,0.044658,0.034071,0.001311,0.000208,1.089638
2.587,0.037068,0.028229,0.001838,0.000275,1.092053
2.637,0.028088,0.021417,0.001866,0.000272,1.093385
2.687,0.020203,0.015409,0.001481,0.000258,1.095187
2.737,0.012386,0.009441,0.001727,0.000267,1.096418
2.787,0.004038,0.003066,0.001683,0.000249,1.096734
2.837,0.00413,-0.00315,0.001714,0.000279,1.096973
2.887,0.012467,-0.009503,0.001707,0.000298,1.096239
2.937,0.020254,-0.015448,0.00142,0.000269,1.09545
2.987,0.028212,-0.021517,0.001823,0.000311,1.094011
3.037,0.037146,-0.028305,0.001747,0.000316,1.092299
3.087,0.044793,-0.034171,0.001238,0.000303,1.090284
3.137,0.052297,-0.03992,0.001822,0.000316,1.0872
3.187,0.061668,-0.047056,0.001661,0.000298,1.084161
3.237,0.068893,-0.052541,0.001034,0.000256,1.080784
3.287,0.075467,-0.057595,0.001651,0.000342,1.076582
3.337,0.085165,-0.064986,0.001921,0.000353,1.071982
3.387,0.093158,-0.07103,0.001074,0.000239,1.067118
3.437,0.098796,-0.075381,0.001444,0.00038,1.062016
3.487,0.108478,-0.082814,0.00194,0.000343,1.056229
3.537,0.116135,-0.088593,0.000984,0.000245,1.049676
3.587,0.120718,-0.092137,0.001054,0.000335,1.042759
3.637,0.130128,-0.099325,0.00239,0.000388,1.035656
3.687,0.139298,-0.106277,0.001228,0.00027,1.028077
