warmup,bias_v,h1_signed_v,h2_signed_v,h2_filt_signed_v,dc_v,k_fit,k_h2_signed_v,k_h2_filt_signed_v,k_h2_signed_over_dc,k_h2_filt_signed_over_dc
1,-9.95,0.139071,0.00016,0.00015952781694840258,0.909105,301.75546720527524,0.048280874752844045,0.048138390935502845,0.05310813905197314,0.052951409282209254
0,-9.85,0.13167,-0.000974,0.00010286021385017916,0.919303,301.75546720527524,-0.2939098250579381,0.031038631887195335,-0.3197094157834121,0.033763222666732665
0,-9.75,0.127707,-0.000623,6.654442935448808e-05,0.938256,301.75546720527524,-0.18799365606888646,0.020080145369771984,-0.20036499214381412,0.021401563506944783
0,-9.65,0.11916,-8.2e-05,5.910109329131124e-05,0.958426,301.75546720527524,-0.02474394831083257,0.017834078018462183,-0.025817275732119716,0.01860767343379894
0,-9.55,0.111063,-0.001193,-3.525755451224083e-06,0.978469,301.75546720527524,-0.3599942723758934,-0.0010639159834356692,-0.36791586895026146,-0.0010873272259373256
0,-9.45,0.105857,-0.000515,-2.9082927517377868e-05,0.998151,301.75546720527524,-0.15540406561071676,-0.008775932380703514,-0.15569194000779116,-0.008792189138420453
0,-9.35,0.095222,-0.000166,-3.5930606725348595e-05,1.016514,301.75546720527524,-0.05009140755607569,-0.010842257019376569,-0.049277636664203046,-0.01066611676708493
0,-9.25,0.087559,-0.001084,-8.831183135405251e-05,1.033366,301.75546720527524,-0.3271029264505183,-0.02664857792999559,-0.3165412123589496,-0.025788131146172403
0,-9.15,0.080157,-0.000508,-0.0001092753369385831,1.049037,301.75546720527524,-0.15329177734027982,-0.032974430351916016,-0.1461261874845976,-0.0314330479782086
0,-9.05,0.069246,-0.000446,-0.0001260884918279108,1.062932,301.75546720527524,-0.13458293837355276,-0.038047891760739756,-0.12661481484568415,-0.03579522656269616
0,-8.95,0.061089,-0.000792,-0.00015939905443412898,1.07526,301.75546720527524,-0.23899033002657796,-0.04809953614284969,-0.2222628294799192,-0.04473293542292067
0,-8.85,0.052172,-0.000477,-0.00017529505292359623,1.086487,301.75546720527524,-0.14393735785691628,-0.05289624059373323,-0.13247959511426854,-0.04868557156572811
0,-8.75,0.041708,-0.000581,-0.00019556847717256884,1.096674,301.75546720527524,-0.17531992644626493,-0.059013857199832716,-0.15986512532098412,-0.0538116680069307
0,-8.65,0.032886,-0.000612,-0.0002163726904474648,1.104853,301.75546720527524,-0.18467434592962845,-0.06529164229643714,-0.1671483409373269,-0.05909532064124108
0,-8.55,0.022714,-0.000443,-0.00022772168437872222,1.11112,301.75546720527524,-0.13367767197193692,-0.06871626326247356,-0.12030894230320478,-0.06184414218308873
0,-8.45,0.012784,-0.00062,-0.0002473339114920903,1.115517,301.75546720527524,-0.18708838966727065,-0.07463436001800391,-0.16771451234474297,-0.06690562314873186
