t_s,state,locked,bias_v,err,h1_v,h2_v,dc_v,vpi_v,null_v,peak_v,quad_v,target_v,target_dc_v,dc_delta_v
0.000,LOCKING,0,0.880000,-0.131500,0.000200,0.000500,0.739900,5.454000,-3.165000,2.259000,-0.453000,0.925500,0.160950,0.578970
1.008,LOCKING,0,0.671000,0.042100,0.212700,0.000700,0.817100,5.454000,-3.165000,2.259000,-0.453000,0.925500,0.160950,0.656100
2.012,LOCKING,0,0.997000,0.159100,0.221700,0.000900,0.889500,5.454000,-3.165000,2.259000,-0.453000,0.925500,0.160950,0.728570
3.017,LOCKING,0,1.326000,0.093000,0.187400,0.001200,0.971300,5.454000,-3.165000,2.259000,-0.453000,0.925500,0.160950,0.810310
4.022,LOCKED,1,1.368000,-0.031800,0.163800,0.002400,0.991400,5.454000,-3.165000,2.259000,-0.453000,0.925500,0.160950,0.830450
5.023,LOCKING,0,1.226000,-0.057500,0.172000,0.001200,0.967500,5.454000,-3.165000,2.259000,-0.453000,0.925500,0.160950,0.806580
6.028,LOCKED,1,1.145000,-0.012200,0.187400,0.000900,0.948200,5.454000,-3.165000,2.259000,-0.453000,0.925500,0.160950,0.787240
7.033,LOCKED,1,1.164000,0.016400,0.190100,0.000500,0.950300,5.454000,-3.165000,2.259000,-0.453000,0.925500,0.160950,0.789380
8.037,LOCKED,1,1.205000,0.013100,0.186200,0.001600,0.960200,5.454000,-3.165000,2.259000,-0.453000,0.925500,0.160950,0.799290
9.044,LOCKED,1,1.212000,-0.004300,0.180700,0.002800,0.963200,5.454000,-3.165000,2.259000,-0.453000,0.925500,0.160950,0.802240
10.046,LOCKED,1,1.190000,-0.009000,0.183200,0.002000,0.960300,5.454000,-3.165000,2.259000,-0.453000,0.925500,0.160950,0.799350
11.049,LOCKED,1,1.180000,-0.000500,0.185900,0.001400,0.958200,5.454000,-3.165000,2.259000,-0.453000,0.925500,0.160950,0.797290
12.054,LOCKED,1,1.185000,0.002900,0.185800,0.001400,0.959700,5.454000,-3.165000,2.259000,-0.453000,0.925500,0.160950,0.798780
13.058,LOCKED,1,1.189000,0.000400,0.184700,0.001500,0.961400,5.454000,-3.165000,2.259000,-0.453000,0.925500,0.160950,0.800480
14.062,LOCKED,1,1.186000,-0.002300,0.184700,0.001500,0.961700,5.454000,-3.165000,2.259000,-0.453000,0.925500,0.160950,0.800750
15.064,LOCKED,1,1.180000,-0.001900,0.185100,0.001400,0.960200,5.454000,-3.165000,2.259000,-0.453000,0.925500,0.160950,0.799240
16.069,LOCKED,1,1.178000,-0.000200,0.185300,0.001300,0.959900,5.454000,-3.165000,2.259000,-0.453000,0.925500,0.160950,0.798910
17.072,LOCKED,1,1.177000,-0.000400,0.185300,0.001300,0.961000,5.454000,-3.165000,2.259000,-0.453000,0.925500,0.160950,0.800030
18.073,LOCKED,1,1.176000,-0.000500,0.185100,0.001200,0.960200,5.454000,-3.165000,2.259000,-0.453000,0.925500,0.160950,0.799290
19.077,LOCKED,1,1.175000,-0.000600,0.184900,0.001200,0.960200,5.454000,-3.165000,2.259000,-0.453000,0.925500,0.160950,0.799220
20.078,LOCKED,1,1.173000,-0.000900,0.184800,0.001200,0.960600,5.454000,-3.165000,2.259000,-0.453000,0.925500,0.160950,0.799600
21.078,LOCKED,1,1.171000,-0.000900,0.184800,0.001100,0.959900,5.454000,-3.165000,2.259000,-0.453000,0.925500,0.160950,0.798950
22.079,LOCKED,1,1.169000,-0.000900,0.185000,0.001100,0.960700,5.454000,-3.165000,2.259000,-0.453000,0.925500,0.160950,0.799780
23.084,LOCKED,1,1.166000,-0.001000,0.185200,0.001100,0.961100,5.454000,-3.165000,2.259000,-0.453000,0.925500,0.160950,0.800190
24.089,LOCKED,1,1.164000,-0.000700,0.185200,0.001000,0.960700,5.454000,-3.165000,2.259000,-0.453000,0.925500,0.160950,0.799760
25.094,LOCKED,1,1.163000,-0.000500,0.185100,0.001000,0.960400,5.454000,-3.165000,2.259000,-0.453000,0.925500,0.160950,0.799430
26.099,LOCKED,1,1.162000,-0.000300,0.185000,0.001000,0.960500,5.454000,-3.165000,2.259000,-0.453000,0.925500,0.160950,0.799540
27.104,LOCKED,1,1.161000,-0.000800,0.185000,0.001000,0.960600,5.454000,-3.165000,2.259000,-0.453000,0.925500,0.160950,0.799630
28.108,LOCKED,1,1.158000,-0.000900,0.185000,0.000900,0.960000,5.454000,-3.165000,2.259000,-0.453000,0.925500,0.160950,0.799000
29.112,LOCKED,1,1.156000,-0.000600,0.185000,0.000900,0.960100,5.454000,-3.165000,2.259000,-0.453000,0.925500,0.160950,0.799170
30.117,LOCKED,1,1.154000,-0.000800,0.185000,0.000800,0.960400,5.454000,-3.165000,2.259000,-0.453000,0.925500,0.160950,0.799440
31.122,LOCKED,1,1.152000,-0.000500,0.184900,0.000700,0.959800,5.454000,-3.165000,2.259000,-0.453000,0.925500,0.160950,0.798810
32.127,LOCKED,1,1.152000,-0.000300,0.184700,0.000700,0.959600,5.454000,-3.165000,2.259000,-0.453000,0.925500,0.160950,0.798610
33.128,LOCKED,1,1.151000,-0.000400,0.184600,0.000600,0.959000,5.454000,-3.165000,2.259000,-0.453000,0.925500,0.160950,0.798080
34.130,LOCKED,1,1.149000,-0.000500,0.184400,0.000500,0.959100,5.454000,-3.165000,2.259000,-0.453000,0.925500,0.160950,0.798110
35.131,LOCKED,1,1.147000,-0.001100,0.184400,0.000400,0.959200,5.454000,-3.165000,2.259000,-0.453000,0.925500,0.160950,0.798280
36.134,LOCKED,1,1.144000,-0.001300,0.184300,0.000300,0.959000,5.454000,-3.165000,2.259000,-0.453000,0.925500,0.160950,0.798010
37.135,LOCKED,1,1.141000,-0.001100,0.184200,0.000200,0.958600,5.454000,-3.165000,2.259000,-0.453000,0.925500,0.160950,0.797660
38.136,LOCKED,1,1.139000,-0.000900,0.184000,0.000100,0.958400,5.454000,-3.165000,2.259000,-0.453000,0.925500,0.160950,0.797420
39.141,LOCKED,1,1.136000,-0.001200,0.183900,0.000200,0.958200,5.454000,-3.165000,2.259000,-0.453000,0.925500,0.160950,0.797290
40.145,LOCKED,1,1.133000,-0.001100,0.183800,0.000300,0.957800,5.454000,-3.165000,2.259000,-0.453000,0.925500,0.160950,0.796850
41.149,LOCKED,1,1.131000,-0.000800,0.183400,0.000400,0.956700,5.454000,-3.165000,2.259000,-0.453000,0.925500,0.160950,0.795780
42.154,LOCKED,1,1.129000,-0.000800,0.183300,0.000400,0.956400,5.454000,-3.165000,2.259000,-0.453000,0.925500,0.160950,0.795440
43.154,LOCKED,1,1.127000,-0.000600,0.183100,0.000400,0.956500,5.454000,-3.165000,2.259000,-0.453000,0.925500,0.160950,0.795500
44.157,LOCKED,1,1.125000,-0.000500,0.183000,0.000500,0.956000,5.454000,-3.165000,2.259000,-0.453000,0.925500,0.160950,0.795030
