t_s,state,locked,bias_v,err,h1_v,h2_v,dc_v,vpi_v,null_v,peak_v,quad_v,target_v
0.000,LOCKING,0,1.231000,0.000000,0.000000,0.001000,0.524800,5.444000,-2.852000,2.573000,-0.139000,1.231000
1.001,LOCKING,0,3.131000,-1.000000,0.048600,0.000200,0.951000,5.444000,-2.852000,2.573000,-0.139000,1.231000
2.002,LOCKING,0,3.282000,-1.000000,0.006800,0.000100,0.942400,5.444000,-2.852000,2.573000,-0.139000,1.231000
3.002,LOCKING,0,3.317000,-1.000000,0.007400,0.000100,0.940400,5.444000,-2.852000,2.573000,-0.139000,1.231000
4.007,LOCKING,0,2.352000,0.061800,0.049600,0.000300,0.958700,5.444000,-2.852000,2.573000,-0.139000,1.231000
5.012,LOCKING,0,1.802000,-0.090100,0.126100,0.000600,0.913000,5.444000,-2.852000,2.573000,-0.139000,1.231000
6.017,LOCKING,0,1.320000,-0.075000,0.170400,0.000700,0.849400,5.444000,-2.852000,2.573000,-0.139000,1.231000
7.022,LOCKING,0,0.993000,-0.070500,0.203100,0.000700,0.784000,5.444000,-2.852000,2.573000,-0.139000,1.231000
8.027,LOCKED,1,0.816000,-0.027600,0.226200,0.000600,0.726600,5.444000,-2.852000,2.573000,-0.139000,1.231000
9.030,LOCKED,1,0.845000,-0.003500,0.227300,0.000500,0.729200,5.444000,-2.852000,2.573000,-0.139000,1.231000
10.032,LOCKED,1,0.844000,-0.003500,0.227400,0.000600,0.728600,5.444000,-2.852000,2.573000,-0.139000,1.231000
11.034,LOCKED,1,0.854000,0.003300,0.227400,0.000600,0.728500,5.444000,-2.852000,2.573000,-0.139000,1.231000
12.034,LOCKED,1,0.846000,-0.001500,0.227200,0.000600,0.729300,5.444000,-2.852000,2.573000,-0.139000,1.231000
13.039,LOCKED,1,0.846000,-0.000700,0.227100,0.000600,0.728900,5.444000,-2.852000,2.573000,-0.139000,1.231000
14.041,LOCKED,1,0.850000,-0.002500,0.226300,0.000600,0.731600,5.444000,-2.852000,2.573000,-0.139000,1.231000
15.046,LOCKED,1,0.850000,0.001000,0.226700,0.000600,0.730300,5.444000,-2.852000,2.573000,-0.139000,1.231000
16.047,LOCKED,1,0.846000,-0.002600,0.226300,0.000600,0.731700,5.444000,-2.852000,2.573000,-0.139000,1.231000
17.047,LOCKED,1,0.842000,-0.002300,0.226500,0.000700,0.730200,5.444000,-2.852000,2.573000,-0.139000,1.231000
18.049,LOCKED,1,0.850000,0.000000,0.226400,0.000700,0.732200,5.444000,-2.852000,2.573000,-0.139000,1.231000
19.050,LOCKED,1,0.848000,0.001500,0.226600,0.000600,0.730500,5.444000,-2.852000,2.573000,-0.139000,1.231000
20.054,LOCKED,1,0.851000,-0.000000,0.226300,0.000600,0.732500,5.444000,-2.852000,2.573000,-0.139000,1.231000
21.057,LOCKED,1,0.850000,0.000100,0.226000,0.000600,0.732400,5.444000,-2.852000,2.573000,-0.139000,1.231000
22.062,LOCKED,1,0.845000,-0.001000,0.226100,0.000600,0.731500,5.444000,-2.852000,2.573000,-0.139000,1.231000
