t_s,state,locked,bias_v,err,h1_v,h2_v,dc_v,vpi_v,null_v,peak_v,quad_v,target_v,target_dc_v,dc_delta_v,obs_x,obs_y,phase_est_rad,err_obs_raw,err_dc,err_obs,err_spring,dc_spring_offset_v,lock_obs_ok,phase_jump_rejected,lock_radius_ok,lock_err_ok,lock_bias_ok,lock_phase_ok,diag_radius,bias_err_v,bias_window_v,hold_active,lock_streak,dc_null_v,dc_peak_v,dc_phase_deg
0.000,LOCKED,1,-1.448000,0.000000,0.128100,0.001700,0.087500,5.450000,-2.810000,2.640000,-0.085000,-1.447500,nan,nan,0.707100,0.707100,0.785400,0.000000,0.836300,0.000000,-0.000000,0.000000,1,0,1,1,1,1,1.000000,0.000000,1.635000,0,1,-0.000600,1.075900,33.2463
0.505,LOCKED,1,-1.455000,-0.030800,0.148600,0.001100,0.141000,5.450000,-2.810000,2.640000,-0.085000,-1.447500,nan,nan,0.740300,0.672300,0.833500,-0.048100,0.736900,-0.030900,0.000100,0.000000,1,0,1,1,1,1,1.000000,-0.007600,1.635000,0,3,-0.000600,1.075900,42.5299
1.010,LOCKED,1,-1.489000,-0.058800,0.166500,0.000300,0.137500,5.450000,-2.810000,2.640000,-0.085000,-1.447500,nan,nan,0.808000,0.589200,0.940700,-0.154700,0.743600,-0.060700,0.001900,0.000000,1,0,1,1,1,1,1.000000,-0.041200,1.635000,0,1,-0.000600,1.075900,41.9758
1.515,LOCKED,1,-1.497000,-0.025600,0.172700,0.000300,0.134600,5.450000,-2.810000,2.640000,-0.085000,-1.447500,nan,nan,0.824400,0.566100,0.969100,-0.182600,0.748900,-0.028100,0.002500,0.000000,1,0,1,1,1,1,1.000000,-0.049200,1.635000,0,3,-0.000600,1.075900,41.5121
2.018,LOCKED,1,-1.498000,0.001500,0.177700,0.000800,0.133600,5.450000,-2.810000,2.640000,-0.085000,-1.447500,nan,nan,0.815100,0.579400,0.952800,-0.166600,0.750800,-0.001300,0.002800,0.000000,1,0,1,1,1,1,1.000000,-0.050800,1.635000,0,6,-0.000600,1.075900,41.3512
2.522,LOCKED,1,-1.495000,0.012100,0.179600,0.001000,0.133900,5.450000,-2.810000,2.640000,-0.085000,-1.447500,nan,nan,0.796300,0.604900,0.921200,-0.135300,0.750200,0.009400,0.002700,0.000000,1,0,1,1,1,1,1.000000,-0.047300,1.635000,0,8,-0.000600,1.075900,41.3996
3.026,LOCKED,1,-1.488000,0.016600,0.181800,0.001100,0.135600,5.450000,-2.810000,2.640000,-0.085000,-1.447500,nan,nan,0.767600,0.640900,0.875100,-0.089500,0.747100,0.014300,0.002300,0.000000,1,0,1,1,1,1,1.000000,-0.039900,1.635000,0,11,-0.000600,1.075900,41.6725
3.531,LOCKED,1,-1.483000,0.015600,0.182900,0.001100,0.136800,5.450000,-2.810000,2.640000,-0.085000,-1.447500,nan,nan,0.751000,0.660400,0.849500,-0.064100,0.744900,0.013600,0.002100,0.000000,1,0,1,1,1,1,1.000000,-0.035200,1.635000,0,13,-0.000600,1.075900,41.8642
4.035,LOCKED,1,-1.477000,0.011600,0.184200,0.001100,0.138300,5.450000,-2.810000,2.640000,-0.085000,-1.447500,nan,nan,0.733400,0.679800,0.823300,-0.037900,0.742000,0.009900,0.001700,0.000000,1,0,1,1,1,1,1.000000,-0.029500,1.635000,0,16,-0.000600,1.075900,42.1029
4.539,LOCKED,1,-1.475000,0.008500,0.184800,0.001100,0.139100,5.450000,-2.810000,2.640000,-0.085000,-1.447500,nan,nan,0.726500,0.687100,0.813300,-0.027900,0.740600,0.007000,0.001500,0.000000,1,0,1,1,1,1,1.000000,-0.025900,1.635000,0,19,-0.000600,1.075900,42.2298
